ID,Sentence
1,i thought i would give them another try since id never ordered a sicilian pizza from there
2,coriolanus why then should i be consul
3,with a kind of smile which neer came from the lungs but even thus for look you i may make the belly smile as well as speakit tauntingly replied to the discontented members the mutinous parts that envied his receipt even so most fitly as you malign our senators for that they are not such as you
4,aufidius if i fly marcius holloa me like a hare
5,classic breakfast joint
6,driving by papa js and w says lets stop in and get a quick dinner
7,new york cnn more than 80 michael jackson collectibles including the late pop stars famous rhinestonestudded glove from a 1983 performance were auctioned off saturday reaping a total 2 million
8,instead the meal that was delivered to both of us was trout with a heaping pile of spinach and mushrooms
9,see our best elders
10,best breakfast spot in the area if you like diner food it is the place to go
11,he said they had a decent reuben but to be prepared to step back in time well seeing as how im kind of addicted to late 40s and early 50s and the whole rat pack scene stepping back in time is a welcomed change in da burghas long as it doesnt involve 1979 which i can see all around me every day and yet another shot at finding a decent reuben in da burghwell thats like hunting the holy grail
12,pittsburgh ambiance
13,sicinius fare you well
14,great people
15,menenius well no more
16,the server then said he would have the meals remade
17,coriolanus think upon me
18,all to the pot i warrant him
19,just mud
20,dont waste your time
21,rather than a thank you or a sorry he just speeds off breaking the speed limit on our block to reach his destination 50 feet away i would call to complain but based on the other reviews its clear the owners do not care about carnegie or its residents and its pretty well known around town just how awful their food is so it would be pointless to boycott a place id never order from again anyway do yourself a favor and order from any other establishment in town
22,the building is in a strip mall across from carnegie coffee company
23,in 1987 when some students believed that the observer began to show a conservative bias a liberal newspaper common sense was published
24,she said yep and then abruptly turned and walked away
25,volumnia ay worthy menenius and with most prosperous approbation
26,menenius not according to the prayer of the people for they love not marcius
27,when the city is really smoggy you cant see the nearby mountains
28,marcius they have a leader tullus aufidius that will put you to t
29,the atmosphere was pleasant in that blue collar bar kind of way and the staff was very nice but not a winning pitch on the reuben the second trip was after a long day of moving furniture with the same friend
30,i am no range expert but this is the 4th one ive been to and the first ive seen of that sort of nickel and diming price for the golf balls was reasonable and i do plan to be back every week until they close up in october for the season
